winner,city,count
Chennai Super Kings,Abu Dhabi,1
Chennai Super Kings,Bangalore,4
Chennai Super Kings,Centurion,2
Chennai Super Kings,Chandigarh,3
Chennai Super Kings,Chennai,33
Chennai Super Kings,Delhi,5
Chennai Super Kings,Dharamsala,1
Chennai Super Kings,Durban,1
Chennai Super Kings,East London,1
Chennai Super Kings,Hyderabad,2
Chennai Super Kings,Jaipur,2
Chennai Super Kings,Johannesburg,1
Chennai Super Kings,Kimberley,1
Chennai Super Kings,Kolkata,4
Chennai Super Kings,Mumbai,8
Chennai Super Kings,Port Elizabeth,2
Chennai Super Kings,Pune,1
Chennai Super Kings,Ranchi,3
Chennai Super Kings,Sharjah,1
Chennai Super Kings,Visakhapatnam,1
Deccan Chargers,Bangalore,1
Deccan Chargers,Cape Town,2
Deccan Chargers,Centurion,2
Deccan Chargers,Chennai,2
Deccan Chargers,Cuttack,3
Deccan Chargers,Delhi,2
Deccan Chargers,Dharamsala,2
Deccan Chargers,Durban,2
Deccan Chargers,Hyderabad,3
Deccan Chargers,Johannesburg,2
Deccan Chargers,Kimberley,1
Deccan Chargers,Kochi,1
Deccan Chargers,Mumbai,3
Deccan Chargers,Nagpur,2
Deccan Chargers,Pune,1
Delhi Daredevils,Ahmedabad,1
Delhi Daredevils,Bangalore,3
Delhi Daredevils,Bloemfontein,1
Delhi Daredevils,Cape Town,1
Delhi Daredevils,Centurion,2
Delhi Daredevils,Chandigarh,1
Delhi Daredevils,Chennai,2
Delhi Daredevils,Delhi,23
Delhi Daredevils,Dharamsala,1
Delhi Daredevils,Durban,3
Delhi Daredevils,East London,1
Delhi Daredevils,Hyderabad,4
Delhi Daredevils,Jaipur,1
Delhi Daredevils,Johannesburg,1
Delhi Daredevils,Kanpur,1
Delhi Daredevils,Kochi,1
Delhi Daredevils,Kolkata,1
Delhi Daredevils,Mumbai,2
Delhi Daredevils,Port Elizabeth,1
Delhi Daredevils,Pune,3
Delhi Daredevils,Raipur,4
Delhi Daredevils,Rajkot,1
